gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Species
evm.TU.Contig2712.1754	2425.105234	-3.238464402	0.316202391	-10.24174546	1.29E-24	1.79E-23	KC
evm.TU.Contig2712.262	250.4343844	-0.971895947	0.220693613	-4.403824541	1.06E-05	2.48E-05	KC
evm.TU.Contig2712.320	472.7118154	-0.348946152	0.087491077	-3.988362769	6.65E-05	0.000141264	KC
evm.TU.Contig2712.6	336.5817573	-1.46378984	0.259256856	-5.64609886	1.64E-08	5.21E-08	KC
evm.TU.Contig2712.800	10213.86578	-4.907679097	0.224027376	-21.90660437	2.25E-106	4.13E-103	KC
evm.TU.Contig2712.808	5729.336137	-1.183073425	0.23512645	-5.031647547	4.86E-07	1.32E-06	KC
evm.TU.Contig2800.138	1966.758102	-1.092034868	0.162901976	-6.703631813	2.03E-11	8.51E-11	KC
evm.TU.Contig29751.130	1413.757791	-1.672405424	0.219752964	-7.610388476	2.73E-14	1.50E-13	KC
evm.TU.Contig29751.267	1857.421291	-1.586021544	0.224193998	-7.074326525	1.50E-12	7.04E-12	KC
evm.TU.Contig29751.72	3129.694027	1.70533219	0.526356022	3.2398835	0.001195785	0.00216537	KC
evm.TU.Contig3098.349	1220.299999	-0.790825445	0.273415257	-2.89239691	0.003823146	0.006455644	KC
evm.TU.Contig3230.109	5590.632201	-2.627331357	0.225683326	-11.64167246	2.53E-31	5.91E-30	KC
evm.TU.Contig3230.20	8552.87693	-2.636290478	0.216690895	-12.16613404	4.71E-34	1.34E-32	KC
evm.TU.Contig3230.210	835.6233731	-0.469257907	0.219501833	-2.137831381	0.032530431	0.047687196	KC
evm.TU.Contig3230.211	718.3476518	-0.703662475	0.251602813	-2.796719427	0.005162434	0.008560143	KC
evm.TU.Contig32781.1	2.92461897	-1.846806884	0.747594713	-2.470331653	0.013498784	0.021038542	KC
evm.TU.Contig3364.11	331.3380527	-2.762505084	0.186842952	-14.78517145	1.83E-49	1.57E-47	KC
evm.TU.Contig3364.326	1043.807432	-1.10118613	0.15953441	-6.902499149	5.11E-12	2.27E-11	KC
evm.TU.Contig5252.125	15446.27108	-3.307869238	0.250973568	-13.18014988	1.14E-39	5.05E-38	KC
evm.TU.Contig5252.1416	153.3378916	-2.26826626	0.31672346	-7.16166165	7.97E-13	3.83E-12	KC
evm.TU.Contig5252.1493	566.7048456	-0.600540135	0.112562935	-5.335149916	9.55E-08	2.81E-07	KC
evm.TU.Contig5252.306	484.1625328	-2.373238736	0.224054085	-10.59225827	3.24E-26	5.09E-25	KC
evm.TU.Contig5252.593	1491.156865	-0.334103364	0.086289707	-3.871879707	0.000107999	0.000223749	KC
evm.TU.Contig5252.603	22.87630731	-0.977841696	0.326313891	-2.996629085	0.002729826	0.004704263	KC
evm.TU.Contig5252.748	7406.123588	-1.798590347	0.22906171	-7.851990404	4.09E-15	2.41E-14	KC
evm.TU.Contig5252.860	979.5452396	-1.526498731	0.138912237	-10.98894352	4.32E-28	7.89E-27	KC
evm.TU.Contig5252.875	2689.896304	-4.210851082	0.206589397	-20.38270666	2.38E-92	2.28E-89	KC
